运行臂,功率_瓦,模态,指标,时间窗,RMSE_摄氏度,MAE_摄氏度,偏差_摄氏度,最大绝对误差_摄氏度,观测点数,数据状态
空间LF同源,115.2,冷端,真实首时刻温升,"[0,30]秒",0.17974655400702608,0.13859049479166666,-0.138525390625,0.358184814453125,30,实际观测
空间LF同源,115.2,冷端,真实首时刻温升,"(30,100]秒",0.5147767454683259,0.5125318254743304,-0.5125318254743304,0.57757568359375,70,实际观测
空间LF同源,115.2,冷端,真实首时刻温升,"(100,200]秒",,,,,0,无数据
空间LF同源,403.0,顶部,绝对温度,全部合法观测,2.5487328199397647,1.8756031942217082,0.6127278900778834,7.818511962890625,,实际观测
空间LF同源,403.0,顶部,绝对温度,"[0,30]秒",4.040418310692386,3.490067988732467,3.1667304212110663,7.756195068359375,,实际观测
空间LF同源,403.0,顶部,绝对温度,"(30,100]秒",1.758272085413419,1.3205744297237572,-0.37467078365899376,7.35748291015625,,实际观测
空间LF同源,403.0,顶部,绝对温度,"(100,200]秒",1.9153689957722584,1.3965194014106819,0.23784167884376461,7.8184814453125,,实际观测
空间LF同源,403.0,热端,绝对温度,全部合法观测,0.8199351210780043,0.7858758351159474,0.7858758351159474,1.190460205078125,126,实际观测
空间LF同源,403.0,热端,绝对温度,"[0,30]秒",1.0052823491180463,0.999957275390625,0.999957275390625,1.190460205078125,30,实际观测
空间LF同源,403.0,热端,绝对温度,"(30,100]秒",0.8049794978183547,0.7735704694475446,0.7735704694475446,1.123046875,70,实际观测
空间LF同源,403.0,热端,绝对温度,"(100,200]秒",0.5893861367469266,0.5719886192908654,0.5719886192908654,0.896575927734375,26,实际观测
空间LF同源,403.0,热端,真实首时刻温升,全部合法观测,0.2669564148635332,0.21816847059461805,-0.1287359812903026,0.481170654296875,126,实际观测
