运行臂,功率_瓦,材料,时间窗,权重口径,RMSE_摄氏度,MAE_摄氏度,偏差_摄氏度,最大绝对误差_摄氏度,验证点数,完整场推理秒
原始LF_B0,330.0,Cu,全时段,轴对称有限元集总真实体积,1.9718191842476447,1.645478910568087,1.1448838439466118,8.99273681640625,82921,0.012633279999135993
原始LF_B0,330.0,Cu,"[0,30]秒",节点等权,2.3346113615196726,2.057144697052262,1.239789795498029,7.6483154296875,13136,0.012633279999135993
原始LF_B0,330.0,Cu,"[0,30]秒",轴对称有限元集总真实体积,2.19813092950459,1.9836533552287148,1.7223726817114446,7.6483154296875,13136,0.012633279999135993
原始LF_B0,330.0,Cu,"(30,100]秒",节点等权,2.5750810763851346,2.103374609043645,0.2657658630233029,8.429931640625,28735,0.012633279999135993
原始LF_B0,330.0,Cu,"(30,100]秒",轴对称有限元集总真实体积,1.9729711784944917,1.6678145430187827,1.1526022798127724,8.429931640625,28735,0.012633279999135993
原始LF_B0,330.0,Cu,"(100,200]秒",节点等权,2.473525262674947,1.972796650931838,0.18559860768474992,8.99273681640625,41050,0.012633279999135993
原始LF_B0,330.0,Cu,"(100,200]秒",轴对称有限元集总真实体积,1.8928557927597573,1.5216281455611997,0.9546845107555534,8.99273681640625,41050,0.012633279999135993
原始LF_B0,330.0,SiC,全时段,节点等权,7.486421589553097,6.677249847435352,-6.622089944479999,20.8712158203125,34138,0.012633279999135993
原始LF_B0,330.0,SiC,全时段,轴对称有限元集总真实体积,6.051529222774332,5.382327016430845,-5.320932288550107,20.8712158203125,34138,0.012633279999135993
原始LF_B0,330.0,SiC,"[0,30]秒",节点等权,5.67240613862021,4.764961688476201,-4.4511701990161425,20.8712158203125,5408,0.012633279999135993
原始LF_B0,330.0,SiC,"[0,30]秒",轴对称有限元集总真实体积,4.5876449975728,3.8064123142384583,-3.4504518310516215,20.8712158203125,5408,0.012633279999135993
原始LF_B0,330.0,SiC,"(30,100]秒",节点等权,7.84198182143846,7.288839670086149,-7.284409776624742,19.4283447265625,11830,0.012633279999135993
原始LF_B0,330.0,SiC,"(30,100]秒",轴对称有限元集总真实体积,6.652721580401045,6.14821994184437,-6.143979841922337,19.4283447265625,11830,0.012633279999135993
原始LF_B0,330.0,SiC,"(100,200]秒",节点等权,7.737563578251109,6.861069182446722,-6.853160380527113,20.747039794921875,16900,0.012633279999135993
原始LF_B0,330.0,SiC,"(100,200]秒",轴对称有限元集总真实体积,6.02150007629578,5.3504946733429435,-5.343352747589063,20.747039794921875,16900,0.012633279999135993
原始LF_B0,410.0,Cu,全时段,节点等权,3.038020007194984,2.5755675448083917,0.7171225983735885,10.9373779296875,82921,0.009523073997115716
原始LF_B0,410.0,Cu,全时段,轴对称有限元集总真实体积,2.523267566238999,2.1815299190863224,1.6162550426879139,10.9373779296875,82921,0.009523073997115716
原始LF_B0,410.0,Cu,"[0,30]秒",节点等权,2.9602701886768736,2.653238596201814,1.7062144262055967,9.545074462890625,13136,0.009523073997115716
原始LF_B0,410.0,Cu,"[0,30]秒",轴对称有限元集总真实体积,2.8306287238709698,2.594488355897099,2.289998257194238,9.545074462890625,13136,0.009523073997115716
原始LF_B0,410.0,Cu,"(30,100]秒",节点等权,3.1189275857543253,2.6520557961796642,0.5798780482106153,10.10736083984375,28735,0.009523073997115716
原始LF_B0,410.0,Cu,"(30,100]秒",轴对称有限元集总真实体积,2.514679289608263,2.1997068613255815,1.6191830710044732,10.10736083984375,28735,0.009523073997115716
原始LF_B0,410.0,Cu,"(100,200]秒",节点等权,3.005012823783081,2.4971710324026053,0.496684398581427,10.9373779296875,41050,0.009523073997115716
原始LF_B0,410.0,Cu,"(100,200]秒",轴对称有限元集总真实体积,2.4229281425592566,2.0366593597393936,1.3986075942242993,10.9373779296875,41050,0.009523073997115716
