方法,随机种子,LF来源,人为已吸收一维热流_W_m2,数值来源折,原锁最佳模型_SHA256,数值参考原档_SHA256,非观测时窗,非探针内部厚度加权RMSE_K
F1,3,,30000,validation,119219a1d1a7bf472a7eb7dacbd4ee2291aed240cf2d2ca5daa70007d6bf9061,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"[0,30]",2.31062211948267
F1,3,,30000,validation,119219a1d1a7bf472a7eb7dacbd4ee2291aed240cf2d2ca5daa70007d6bf9061,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(30,100]",1.8801201808471817
F1,3,,30000,validation,119219a1d1a7bf472a7eb7dacbd4ee2291aed240cf2d2ca5daa70007d6bf9061,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(100,200]",0.6322282733042455
F1,4,,30000,validation,67c75c2ab532cb71f353808bdde0c6cf23bade05a5f882fa968ad0a8aac53b5b,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"[0,30]",2.229066956407999
F1,4,,30000,validation,67c75c2ab532cb71f353808bdde0c6cf23bade05a5f882fa968ad0a8aac53b5b,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(30,100]",1.531394240821184
F1,4,,30000,validation,67c75c2ab532cb71f353808bdde0c6cf23bade05a5f882fa968ad0a8aac53b5b,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(100,200]",0.3056531095574041
F2,0,lf_same_physics_coarse,30000,validation,ea2b67b4927a9fb48f08083a3b2f6399130134e71d168b16a20c44aa2f2968d5,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"[0,30]",1.1415016847277861
F2,0,lf_same_physics_coarse,30000,validation,ea2b67b4927a9fb48f08083a3b2f6399130134e71d168b16a20c44aa2f2968d5,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(30,100]",0.829581073098646
F2,0,lf_same_physics_coarse,30000,validation,ea2b67b4927a9fb48f08083a3b2f6399130134e71d168b16a20c44aa2f2968d5,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(100,200]",0.3859595295624337
F3,0,lf_same_physics_coarse,30000,validation,15c1db6fc11320f8e99311cd503f06e06555fad65ed2372376d67e05bbe414f4,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"[0,30]",1.3167968507052474
F3,0,lf_same_physics_coarse,30000,validation,15c1db6fc11320f8e99311cd503f06e06555fad65ed2372376d67e05bbe414f4,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(30,100]",1.0103266945762501
F3,0,lf_same_physics_coarse,30000,validation,15c1db6fc11320f8e99311cd503f06e06555fad65ed2372376d67e05bbe414f4,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(100,200]",0.4699815833136964
F2,1,lf_same_physics_coarse,30000,validation,b3a15f2748472367ef40e5d763b4df875c59e3d302f87bc3a65a293fb84ff25d,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"[0,30]",1.2008786695849547
F2,1,lf_same_physics_coarse,30000,validation,b3a15f2748472367ef40e5d763b4df875c59e3d302f87bc3a65a293fb84ff25d,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(30,100]",0.9044581874587843
F2,1,lf_same_physics_coarse,30000,validation,b3a15f2748472367ef40e5d763b4df875c59e3d302f87bc3a65a293fb84ff25d,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(100,200]",0.47495880350636693
F3,1,lf_same_physics_coarse,30000,validation,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"[0,30]",1.8678384569316588
F3,1,lf_same_physics_coarse,30000,validation,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(30,100]",1.3162543068260026
F3,1,lf_same_physics_coarse,30000,validation,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(100,200]",0.5203770975501077
F2,2,lf_same_physics_coarse,30000,validation,e2b8de152b8b456d2913d910b61ab754b57164079b1be856e247bea52f9cd30e,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"[0,30]",1.209093507308821
F2,2,lf_same_physics_coarse,30000,validation,e2b8de152b8b456d2913d910b61ab754b57164079b1be856e247bea52f9cd30e,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(30,100]",0.9148421326100835
F2,2,lf_same_physics_coarse,30000,validation,e2b8de152b8b456d2913d910b61ab754b57164079b1be856e247bea52f9cd30e,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(100,200]",0.38286300320700395
F3,2,lf_same_physics_coarse,30000,validation,fd40721521f91baa74515915f6a3ec5d8c69e2b744a24a1713ca30806e8b0808,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"[0,30]",2.0608102696080253
F3,2,lf_same_physics_coarse,30000,validation,fd40721521f91baa74515915f6a3ec5d8c69e2b744a24a1713ca30806e8b0808,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(30,100]",1.184174567930774
F3,2,lf_same_physics_coarse,30000,validation,fd40721521f91baa74515915f6a3ec5d8c69e2b744a24a1713ca30806e8b0808,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(100,200]",0.6251890707701487
F2,3,lf_same_physics_coarse,30000,validation,0cfc46947a911aa69a35f17a271d2e8fa7d4e34bd443862e009425bf6f2370b3,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"[0,30]",2.1594675825497935
F2,3,lf_same_physics_coarse,30000,validation,0cfc46947a911aa69a35f17a271d2e8fa7d4e34bd443862e009425bf6f2370b3,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(30,100]",1.7913467715251385
